,movie,url,vector
22,Judge Dredd,http://www.imsdb.com/scripts/Judge-Dredd.html,"[233, 138, 183, 11, 22, 0, 0, 8, 1, 0, 2, 0, 8, 0, 0, 0, 0, 67, 63, 0, 2, 6, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
23,Kids,http://www.imsdb.com/scripts/Kids.html,"[279, 44, 211, 6, 37, 14, 0, 0, 5, 0, 1, 1, 3, 0, 1, 1, 0, 136, 161, 0, 2, 0, 44, 2, 0, 12, 2, 0, 0, 4, 1, 1, 0, 0]"
24,Living in Oblivion,http://www.imsdb.com/scripts/Living-in-Oblivion.html,"[110, 56, 107, 5, 45, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 73, 135, 1, 5, 13, 1, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0]"
25,Lord of Illusions,http://www.imsdb.com/scripts/Lord-of-Illusions.html,"[393, 133, 258, 16, 29, 3, 7, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 79, 97, 0, 5, 14, 27, 0, 0, 2, 0, 1, 0, 0, 4, 1, 0, 0]"
26,Mute Witness,http://www.imsdb.com/scripts/Mute-Witness.html,"[270, 86, 228, 3, 92, 0, 0, 5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 330, 309, 0, 4, 54, 14, 0, 0, 1, 0, 0, 0, 17, 2, 1, 0, 0]"
27,The Prophecy,"http://www.imsdb.com/scripts/Prophecy,-The.html","[238, 113, 291, 14, 43, 14, 4, 1, 5, 0, 17, 0, 3, 0, 0, 1, 0, 97, 174, 0, 2, 10, 14, 0, 0, 2, 27, 0, 1, 0, 0, 0, 0, 0]"
28,Strange Days,http://www.imsdb.com/scripts/Strange-Days.html,"[475, 201, 390, 9, 38, 4, 0, 4, 0, 0, 1, 0, 0, 1, 4, 0, 0, 318, 422, 0, 15, 18, 17, 0, 0, 3, 0, 0, 0, 2, 3, 3, 1, 0]"
29,Clerks,http://www.imsdb.com/scripts/Clerks.html,"[239, 85, 133, 3, 94, 5, 0, 4, 1, 0, 3, 0, 3, 0, 8, 1, 0, 99, 69, 0, 4, 12, 31, 2, 0, 19, 0, 1, 0, 3, 2, 9, 2, 0]"
30,Dumb and Dumber,http://www.imsdb.com/scripts/Dumb-and-Dumber.html,"[233, 54, 241, 6, 44, 9, 0, 16, 1, 0, 2, 0, 1, 6, 2, 1, 0, 88, 95, 0, 1, 22, 12, 5, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
31,Ed Wood,http://www.imsdb.com/scripts/Ed-Wood.html,"[395, 70, 229, 9, 61, 15, 3, 5, 4, 0, 6, 0, 1, 3, 1, 0, 0, 90, 65, 0, 4, 17, 15, 1, 0, 1, 0, 2, 0, 0, 10, 7, 0, 0]"
32,Heavenly Creatures,http://www.imsdb.com/scripts/Heavenly-Creatures.html,"[79, 38, 73, 9, 13, 4, 1, 3, 16, 0, 3, 0, 0, 2, 0, 0, 0, 182, 288, 0, 4, 16, 7, 1, 1, 40, 0, 9, 0, 2, 8, 0, 0, 0]"
33,Interview with the Vampire,http://www.imsdb.com/scripts/Interview-with-the-Vampire.html,"[343, 193, 233, 10, 10, 11, 0, 2, 9, 0, 1, 0, 2, 3, 0, 0, 0, 165, 252, 1, 6, 30, 22, 5, 0, 11, 1, 11, 0, 1, 15, 0, 0, 0]"
34,Natural Born Killers,http://www.imsdb.com/scripts/Natural-Born-Killers.html,"[143, 86, 208, 9, 23, 10, 0, 3, 5, 0, 6, 0, 7, 3, 0, 0, 0, 70, 143, 1, 7, 11, 8, 3, 0, 11, 0, 0, 0, 3, 9, 0, 0, 0]"
35,Pulp Fiction,http://www.imsdb.com/scripts/Pulp-Fiction.html,"[262, 81, 246, 17, 120, 16, 3, 0, 7, 4, 5, 0, 3, 3, 1, 5, 0, 109, 155, 1, 1, 41, 11, 4, 0, 4, 2, 1, 0, 1, 16, 2, 3, 0]"
36,Priest,http://www.imsdb.com/scripts/Priest.html,"[321, 117, 302, 10, 65, 6, 4, 2, 16, 0, 3, 0, 7, 2, 0, 3, 0, 98, 120, 1, 3, 4, 13, 0, 0, 3, 1, 2, 0, 0, 2, 0, 0, 2]"
37,The Shawshank Redemption,"http://www.imsdb.com/scripts/Shawshank-Redemption,-The.html","[356, 142, 390, 19, 87, 10, 8, 22, 0, 0, 7, 0, 3, 1, 0, 1, 0, 25, 46, 0, 0, 21, 5, 5, 0, 2, 0, 0, 0, 0, 18, 0, 0, 0]"
38,Shallow Grave,http://www.imsdb.com/scripts/Shallow-Grave.html,"[216, 57, 120, 14, 28, 3, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 29, 33, 0, 0, 6, 3, 0, 0, 2, 1, 0, 0, 2, 0, 1, 0, 0]"
39,Virtuosity,http://www.imsdb.com/scripts/Virtuosity.html,"[341, 155, 372, 21, 14, 1, 2, 3, 1, 0, 7, 0, 1, 0, 2, 0, 0, 110, 136, 0, 7, 20, 1, 2, 0, 3, 0, 10, 0, 0, 6, 0, 0, 0]"
40,The Crow,"http://www.imsdb.com/scripts/Crow,-The.html","[310, 100, 263, 20, 30, 3, 1, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0, 66, 93, 1, 1, 21, 6, 2, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0]"
41,Cobb,http://www.imsdb.com/scripts/Cobb.html,"[347, 87, 294, 15, 124, 5, 0, 9, 41, 1, 11, 0, 1, 2, 0, 0, 0, 64, 58, 0, 3, 37, 9, 4, 0, 32, 0, 0, 0, 14, 11, 0, 0, 0]"
42,The Flintstones,"http://www.imsdb.com/scripts/Flintstones,-The.html","[213, 71, 206, 11, 23, 9, 0, 2, 0, 0, 1, 0, 9, 2, 1, 8, 7, 30, 29, 0, 1, 1, 8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
43,Forrest Gump,http://www.imsdb.com/scripts/Forrest-Gump.html,"[203, 95, 174, 14, 92, 54, 1, 25, 2, 0, 14, 0, 4, 2, 1, 2, 0, 88, 100, 0, 2, 37, 11, 1, 0, 7, 4, 0, 0, 0, 4, 0, 0, 0]"
44,The Mask,"http://www.imsdb.com/scripts/Mask,-The.html","[279, 108, 327, 22, 41, 8, 0, 3, 0, 0, 4, 0, 0, 1, 1, 0, 0, 77, 120, 0, 4, 10, 11, 5, 0, 1, 0, 0, 0, 0, 4, 2, 0, 0]"
45,True Lies,http://www.imsdb.com/scripts/True-Lies.html,"[439, 193, 274, 11, 27, 3, 0, 6, 10, 0, 8, 0, 0, 11, 2, 0, 0, 297, 325, 1, 6, 14, 4, 3, 0, 1, 0, 10, 0, 0, 11, 1, 0, 0]"
46,Being Human,http://www.imsdb.com/scripts/Being-Human.html,"[579, 227, 478, 36, 81, 55, 3, 9, 34, 0, 27, 0, 3, 1, 0, 0, 0, 195, 226, 1, 10, 25, 40, 3, 0, 27, 0, 7, 0, 2, 5, 0, 0, 0]"
47,Cliffhanger,http://www.imsdb.com/scripts/Cliffhanger.html,"[341, 162, 287, 55, 7, 0, 1, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 54, 81, 2, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
48,Color of Night,http://www.imsdb.com/scripts/Color-of-Night.html,"[487, 115, 261, 12, 32, 0, 0, 1, 6, 0, 5, 0, 8, 6, 0, 0, 0, 229, 182, 1, 3, 37, 5, 5, 0, 1, 0, 4, 0, 1, 15, 3, 0, 0]"
49,Even Cowgirls Get the Blues,http://www.imsdb.com/scripts/Even-Cowgirls-Get-the-Blues.html,"[85, 22, 77, 1, 25, 1, 2, 0, 2, 0, 0, 0, 0, 6, 0, 6, 0, 150, 178, 0, 6, 11, 14, 3, 2, 4, 0, 2, 0, 1, 1, 0, 0, 0]"
50,Fatal Instinct,http://www.imsdb.com/scripts/Fatal-Instinct.html,"[351, 153, 261, 8, 37, 7, 0, 1, 3, 1, 5, 0, 3, 26, 0, 2, 0, 302, 289, 0, 5, 35, 5, 2, 1, 7, 0, 0, 0, 6, 26, 0, 0, 0]"
51,The Fugitive,"http://www.imsdb.com/scripts/Fugitive,-The.html","[445, 161, 305, 16, 105, 10, 1, 11, 0, 1, 2, 0, 1, 7, 0, 0, 0, 52, 63, 0, 0, 33, 2, 3, 0, 2, 1, 0, 0, 0, 23, 0, 0, 0]"
52,The Getaway,"http://www.imsdb.com/scripts/Getaway,-The.html","[283, 108, 277, 12, 35, 5, 0, 2, 0, 0, 1, 0, 4, 5, 1, 0, 0, 125, 160, 1, 6, 13, 6, 4, 0, 4, 0, 0, 0, 0, 6, 0, 0, 0]"
53,The Hudsucker Proxy,"http://www.imsdb.com/scripts/Hudsucker-Proxy,-The.html","[340, 80, 387, 16, 89, 18, 0, 24, 0, 0, 2, 0, 0, 0, 0, 0, 0, 113, 86, 0, 2, 28, 8, 1, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0]"
54,I'll Do Anything,http://www.imsdb.com/scripts/I'll-Do-Anything.html,"[285, 128, 133, 15, 33, 10, 2, 1, 22, 0, 2, 0, 1, 0, 1, 0, 0, 248, 284, 0, 15, 13, 17, 7, 0, 13, 0, 11, 0, 0, 6, 0, 0, 0]"
55,Jurassic Park,http://www.imsdb.com/scripts/Jurassic-Park.html,"[411, 94, 320, 20, 16, 4, 0, 4, 0, 1, 1, 0, 2, 0, 0, 0, 0, 135, 155, 1, 6, 1, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0]"
56,Kalifornia,http://www.imsdb.com/scripts/Kalifornia.html,"[341, 137, 280, 9, 47, 12, 0, 4, 8, 0, 2, 0, 0, 1, 1, 0, 0, 236, 300, 5, 4, 13, 31, 2, 0, 8, 0, 1, 0, 0, 1, 2, 0, 0]"
57,Killing Zoe,http://www.imsdb.com/scripts/Killing-Zoe.html,"[273, 83, 170, 6, 15, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 69, 62, 0, 1, 7, 8, 0, 0, 5, 0, 0, 0, 0, 2, 2, 0, 0]"
58,Manhattan Murder Mystery,http://www.imsdb.com/scripts/Manhattan-Murder-Mystery.html,"[359, 87, 194, 2, 14, 2, 0, 0, 5, 0, 4, 0, 8, 4, 0, 1, 0, 352, 292, 0, 0, 40, 3, 12, 0, 3, 0, 0, 0, 11, 29, 1, 0, 0]"
59,Philadelphia,http://www.imsdb.com/scripts/Philadelphia.html,"[161, 60, 252, 7, 37, 5, 3, 6, 7, 0, 2, 3, 5, 1, 1, 2, 0, 34, 40, 0, 0, 9, 5, 2, 0, 9, 1, 1, 0, 8, 4, 0, 2, 1]"
60,The Piano,"http://www.imsdb.com/scripts/Piano,-The.html","[243, 94, 204, 8, 25, 3, 0, 0, 8, 0, 0, 0, 0, 2, 0, 0, 0, 320, 469, 4, 15, 16, 24, 0, 0, 30, 0, 7, 0, 14, 11, 0, 64, 0]"
61,The Program,"http://www.imsdb.com/scripts/Program,-The.html","[250, 171, 249, 17, 21, 8, 0, 5, 15, 0, 1, 0, 4, 0, 14, 0, 0, 84, 105, 0, 4, 0, 15, 0, 0, 8, 0, 3, 0, 1, 0, 4, 0, 0]"
62,Schindler's List,http://www.imsdb.com/scripts/Schindler's-List.html,"[506, 189, 354, 33, 75, 32, 2, 24, 4, 0, 5, 0, 2, 5, 0, 0, 0, 76, 82, 0, 4, 30, 33, 0, 0, 3, 0, 2, 0, 0, 19, 4, 1, 0]"
63,Serial Mom,http://www.imsdb.com/scripts/Serial-Mom.html,"[86, 57, 92, 9, 19, 10, 0, 1, 12, 0, 12, 0, 4, 6, 12, 0, 0, 118, 253, 0, 14, 11, 10, 12, 0, 23, 0, 2, 0, 0, 11, 1, 1, 0]"
64,Six Degrees of Separation,http://www.imsdb.com/scripts/Six-Degrees-of-Separation.html,"[224, 113, 143, 9, 32, 15, 3, 2, 33, 0, 28, 0, 2, 5, 0, 1, 0, 71, 74, 0, 2, 9, 9, 3, 0, 15, 1, 5, 0, 1, 11, 0, 0, 0]"
65,Sleepless in Seattle,http://www.imsdb.com/scripts/Sleepless-in-Seattle.html,"[179, 64, 110, 7, 18, 4, 0, 0, 14, 0, 7, 0, 4, 5, 1, 5, 0, 186, 133, 0, 9, 26, 2, 1, 0, 19, 1, 1, 0, 1, 20, 2, 0, 0]"
66,Blade Runner,http://www.imsdb.com/scripts/Blade-Runner.html,"[389, 127, 363, 15, 50, 6, 0, 0, 4, 0, 1, 0, 0, 2, 0, 2, 0, 173, 181, 1, 1, 6, 11, 7, 0, 1, 0, 0, 0, 0, 3, 0, 2, 1]"
67,So I Married an Axe Murderer,http://www.imsdb.com/scripts/So-I-Married-an-Axe-Murderer.html,"[226, 61, 141, 6, 41, 6, 0, 11, 3, 0, 6, 0, 1, 2, 0, 11, 0, 173, 138, 1, 2, 9, 11, 16, 0, 5, 0, 1, 0, 7, 13, 3, 0, 0]"
68,The Nightmare Before Christmas,"http://www.imsdb.com/scripts/Nightmare-Before-Christmas,-The.html","[42, 32, 18, 1, 11, 5, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]"
69,The Three Musketeers,"http://www.imsdb.com/scripts/Three-Musketeers,-The.html","[356, 159, 376, 19, 75, 30, 2, 2, 36, 0, 8, 0, 2, 10, 0, 0, 0, 76, 130, 2, 0, 23, 6, 3, 1, 28, 0, 0, 0, 0, 2, 0, 0, 0]"
